Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","384","Côte d'Ivoire","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","7046","E","Estimated value"
"QCL","Crops and livestock products","192","Cuba","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8095","E","Estimated value"
"QCL","Crops and livestock products","200","Czechoslovakia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","40917","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","28246","E","Estimated value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","7194","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12308","E","Estimated value"
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","17308","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8779","E","Estimated value"
"QCL","Crops and livestock products","818","Egypt","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","37839","E","Estimated value"
"QCL","Crops and livestock products","222","El Salvador","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","17630","E","Estimated value"
"QCL","Crops and livestock products","748","Eswatini","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6203","E","Estimated value"
"QCL","Crops and livestock products","230","Ethiopia PDR","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10731","E","Estimated value"
"QCL","Crops and livestock products","242","Fiji","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12540","E","Estimated value"
"QCL","Crops and livestock products","250","France","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","50994","E","Estimated value"
"QCL","Crops and livestock products","254","French Guiana","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","13636","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14545","E","Estimated value"
"QCL","Crops and livestock products","270","Gambia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10333","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","49743","E","Estimated value"
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10643","E","Estimated value"
"QCL","Crops and livestock products","300","Greece","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","30165","E","Estimated value"
"QCL","Crops and livestock products","308","Grenada","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8833","E","Estimated value"
"QCL","Crops and livestock products","312","Guadeloupe","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","17778","E","Estimated value"
"QCL","Crops and livestock products","320","Guatemala","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11873","E","Estimated value"
"QCL","Crops and livestock products","324","Guinea","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11525","E","Estimated value"
"QCL","Crops and livestock products","624","Guinea-Bissau","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6667","E","Estimated value"
"QCL","Crops and livestock products","328","Guyana","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14577","E","Estimated value"
"QCL","Crops and livestock products","332","Haiti","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10435","I","Imputed value"
"QCL","Crops and livestock products","340","Honduras","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11984","E","Estimated value"
"QCL","Crops and livestock products","348","Hungary","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","33762","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12791","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9614","E","Estimated value"
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14000","T","Unofficial figure"
"QCL","Crops and livestock products","368","Iraq","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12296","I","Imputed value"
"QCL","Crops and livestock products","376","Israel","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","54762","E","Estimated value"
"QCL","Crops and livestock products","380","Italy","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","46344","E","Estimated value"
"QCL","Crops and livestock products","388","Jamaica","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","13508","E","Estimated value"
"QCL","Crops and livestock products","392","Japan","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","27647","E","Estimated value"
"QCL","Crops and livestock products","400","Jordan","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","2941","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12250","E","Estimated value"
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","16667","E","Estimated value"
"QCL","Crops and livestock products","422","Lebanon","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10154","E","Estimated value"
"QCL","Crops and livestock products","426","Lesotho","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","5146","E","Estimated value"
"QCL","Crops and livestock products","434","Libya","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10430","E","Estimated value"
"QCL","Crops and livestock products","450","Madagascar","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10237","E","Estimated value"
"QCL","Crops and livestock products","454","Malawi","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9000","E","Estimated value"
"QCL","Crops and livestock products","458","Malaysia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","21245","T","Unofficial figure"
"QCL","Crops and livestock products","462","Maldives","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10000","I","Imputed value"
"QCL","Crops and livestock products","466","Mali","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10832","T","Unofficial figure"
"QCL","Crops and livestock products","478","Mauritania","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","5758","I","Imputed value"
"QCL","Crops and livestock products","480","Mauritius","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","20827","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11935","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6267","E","Estimated value"
"QCL","Crops and livestock products","508","Mozambique","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11310","I","Imputed value"
"QCL","Crops and livestock products","104","Myanmar","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","7068","E","Estimated value"
"QCL","Crops and livestock products","516","Namibia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12105","E","Estimated value"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","18695","E","Estimated value"
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","41068","I","Imputed value"
"QCL","Crops and livestock products","540","New Caledonia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","24444","I","Imputed value"
"QCL","Crops and livestock products","554","New Zealand","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","72474","E","Estimated value"
"QCL","Crops and livestock products","558","Nicaragua","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9134","E","Estimated value"
"QCL","Crops and livestock products","562","Niger","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","5843","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9959","E","Estimated value"
"QCL","Crops and livestock products","586","Pakistan","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11208","E","Estimated value"
"QCL","Crops and livestock products","591","Panama","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8687","E","Estimated value"
"QCL","Crops and livestock products","598","Papua New Guinea","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9032","E","Estimated value"
"QCL","Crops and livestock products","600","Paraguay","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","13174","E","Estimated value"
"QCL","Crops and livestock products","604","Peru","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","16085","E","Estimated value"
"QCL","Crops and livestock products","608","Philippines","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8287","E","Estimated value"
"QCL","Crops and livestock products","616","Poland","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","23529","E","Estimated value"
"QCL","Crops and livestock products","620","Portugal","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14361","E","Estimated value"
"QCL","Crops and livestock products","630","Puerto Rico","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8724","E","Estimated value"
"QCL","Crops and livestock products","410","Republic of Korea","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","13514","E","Estimated value"
"QCL","Crops and livestock products","638","Réunion","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","32000","I","Imputed value"
"QCL","Crops and livestock products","642","Romania","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","21191","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12000","E","Estimated value"
"QCL","Crops and livestock products","662","Saint Lucia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8400","I","Imputed value"
"QCL","Crops and livestock products","670","Saint Vincent and the Grenadines","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","31852","E","Estimated value"
"QCL","Crops and livestock products","678","Sao Tome and Principe","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","15161","E","Estimated value"
"QCL","Crops and livestock products","682","Saudi Arabia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","5000","E","Estimated value"
"QCL","Crops and livestock products","686","Senegal","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","7651","E","Estimated value"
"QCL","Crops and livestock products","694","Sierra Leone","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10116","E","Estimated value"
"QCL","Crops and livestock products","706","Somalia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9143","I","Imputed value"
"QCL","Crops and livestock products","710","South Africa","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","13986","E","Estimated value"
"QCL","Crops and livestock products","724","Spain","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","34278","E","Estimated value"
"QCL","Crops and livestock products","144","Sri Lanka","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","7560","E","Estimated value"
"QCL","Crops and livestock products","736","Sudan (former)","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8063","E","Estimated value"
"QCL","Crops and livestock products","740","Suriname","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14884","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","58665","E","Estimated value"
"QCL","Crops and livestock products","760","Syrian Arab Republic","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","1407","E","Estimated value"
"QCL","Crops and livestock products","764","Thailand","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","25877","E","Estimated value"
"QCL","Crops and livestock products","626","Timor-Leste","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10522","I","Imputed value"
"QCL","Crops and livestock products","768","Togo","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12133","E","Estimated value"
"QCL","Crops and livestock products","780","Trinidad and Tobago","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","44873","E","Estimated value"
"QCL","Crops and livestock products","792","Türkiye","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","16099","E","Estimated value"
"QCL","Crops and livestock products","800","Uganda","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12933","E","Estimated value"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","40000","I","Imputed value"
"QCL","Crops and livestock products","834","United Republic of Tanzania","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","4808","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","45439","E","Estimated value"
"QCL","Crops and livestock products","858","Uruguay","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8342","E","Estimated value"
"QCL","Crops and livestock products","810","USSR","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","28118","E","Estimated value"
"QCL","Crops and livestock products","548","Vanuatu","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","5294","E","Estimated value"
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12071","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11010","E","Estimated value"
"QCL","Crops and livestock products","887","Yemen","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","21667","E","Estimated value"
"QCL","Crops and livestock products","890","Yugoslav SFR","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","29474","E","Estimated value"
"QCL","Crops and livestock products","894","Zambia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6333","E","Estimated value"
"QCL","Crops and livestock products","716","Zimbabwe","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12022","E","Estimated value"
