Literature Link,Title,Optimal Temperature for production (C),Limit Temperature for production (C),Optimal Water Activity (aw),Limit Water Activity (aw),Comments
https://www.sciencedirect.com/science/article/pii/S0168160515301598,Effect of temperature and water activity on gene expression and aflatoxin biosynthesis in Aspergillus flavus on almond medium,28,20 & 37,0.96,0.93,A.flavus on almond medium
https://www.sciencedirect.com/science/article/pii/S037842901500115X,An improved simulation model to predict pre-harvest aflatoxin risk in maize,32.5,11.5&42.5,-,-,-simulation
https://www.sciencedirect.com/science/article/pii/S0023643817303456,"The influence of ecophysiological factors on growth, aflR gene expression and aflatoxin B1 production by a type strain of Aspergillus flavus",25,20,0.95,0.9,"Maize 

 

the optimum temperature and aw values for growth and AFB1 production by A. flavus range between 16 and 31 °C and 0.82 and 0.99 aw (Pitt & Hocking, 2009). 

 

AFB1 production was optimum at 25-30 °C and 0.99 aw. These results are similar to some previous reports on optimal conditions for A. flavus ranging between 25 and 30 °C and 0.95–0.99 aw (Abdel-Hadi et al., 2010, Astoreca et al., 2014, Giorni et al., 2011, Giorni et al., 2007, Mousa et al., 2011, Peromingo et al., 2016). 

-*"
https://books.google.co.uk/books?hl=en&lr=&id=0rhSiCG3Ii4C&oi=fnd&pg=PA13&dq=aflatoxin+optimal+temperature&ots=oOSjb1gEfj&sig=Kmo-0QOXT_AR_ZkMeEAlRJyZSs4&redir_esc=y#v=onepage&q&f=false,Aflatoxin formation by Aspergillus flavus,,,,,-different medium require different temp and moisture
https://reader.elsevier.com/reader/sd/pii/S0740002013001512?token=C7F156440DC9CC99F0B1FACA0A736D90FBEC112993F4C40A58A0E2D2A85A2A9F900ED64EDDE778C72467B680E90C8C6B&originRegion=eu-west-1&originCreation=20230519160210,Abiotic factors and their interactions influence on the co-production of aflatoxin B1 and cyclopiazonic acid by Aspergillus flavus isolated from corn,30 (after 21 days),,0.96 (after 21 days),0.83,Corn
https://allen.silverchair-cdn.com/allen/content_public/journal/peanut-science/12/2/10.3146_pnut.12.2.0011/2/pnut_12_2_0011.pdf?Expires=1687537122&Signature=20iIz5KONR6pOX0xMyQ6wd24ysuCGoHpuHzStyNrD2A2dqQfNfeCXw~ZGn3Wg8TlbQeQYCcRRPHTBVRbvCORNIOKaNg1xkHDRGmKV3txLjWhya9CEkzCNZ1uYk6ok4vOL5xCbbVb6nGqcuUsE77SYRbSDpz2gBG0WMaq9OKGVezrO7Xl8DytWT7VvAQBM8aWYitP7m4lHeUmid71sCBS2v7q8gkRVJZKimzQRen3hD9G8lKkLe5UsBeoLbq4e3vRZMv1ao2pofZ8FYnSxftkIOI-L5Jr2axkVAdao7yXVKIivJZlPrIeBXeKuVSjT65ll~KvA0vgyb3oqFy8pvQB8A__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,"Relation of Environmental Stress Duration to Aspergihs flavus Invasion and 
Aflatoxin Production in Preharvest Peanuts",28-30.5,-,-,-,Peanut
https://www.naturalspublishing.com/files/published/3pzp2316lt842t.pdf,"Influence of Different Moisture Contents and Temperature on 
Growth and Production of Aflatoxin B1 by a Toxigenic 
Aspergillus flavus Isolate in Wheat Flour","25 

20-35 (Found aflatoxin)",40,,,Wheat flour
https://www.sciencedirect.com/science/article/abs/pii/S0007153685800772,Growth and aflatoxin production of Aspergillus flavus in wheat and barley,"35  

25-35","15 & 0.95 (minimum growth with 0.975 aw for optimum growth) at above temp optimum aw is 0.95 

42.5 (no production) 

35(minimum growth)",0.975,at (aw) s over 0.90 it lay between 25° and 35°.,A.flavus in wheat and barley
https://www.sciencedirect.com/science/article/pii/S0168160522003130,Influence of abiotic factors (water activity and temperature) on growth and aflatoxin production by Aspergillus flavus in a chickpea-based medium,"30 (growth) 

 

25(production)",15 (at 0.87 & 0.90),"0.99 (growth) 

 

0.99-0.96(production) depends on the strain",0.83 (no growth),A.flavus in chickpea based medium
https://www.sciencedirect.com/science/article/pii/S0956713511002477,Aflatoxin B1 degradation by Bacillus subtilis UTBSP1 isolated from pistachio nuts of Iran,,,,,Pistachio nuts in Iran
https://www.sciencedirect.com/science/article/abs/pii/S0232439389800769,Survey of Some Cereal Grains and Legume Seeds for Aflatoxin Contamination in the Sudan,"30 (aflatoxin production in maize) 

20 (aflatoxin production in haricot bean)",,,,Cereal and legume in Sudan
https://onlinelibrary.wiley.com/doi/full/10.1002/jsfa.9601 (Using ML),The effect of storage temperature and water activity on aflatoxin B1 accumulation in hull-less and hulled spelt grains,30,,0.99,,grains
https://www.sciencedirect.com/science/article/pii/S1878614620300817,Unveiling the effect of interacting forecasted abiotic factors on growth and aflatoxin B1 production kinetics by Aspergillus flavus,30,37 (with exposure to high CO2 level simulating climate change),,,
https://www.mdpi.com/2072-6651/13/2/134,"Effect of Temperature during Drying and Storage of Dried Figs on Growth, Gene Expression and Aflatoxin Production",30 (growth),16(growth),,,Dried figs 11 A.flavus strain
https://aocs.onlinelibrary.wiley.com/doi/abs/10.1007/BF02639271,Limiting temperature and relative humidity for growth and production of aflatoxin and free fatty acids byAspergillus flavus in sterile peanuts,12 (at 21 days),13 (for 21 days at 0.97-0.99),,0.85 (for 21 days at 30C) (aflatoxin production),"A.flavus in peanuts 

 

Damaged kernel effect aflatoxin production"
https://www.sciencedirect.com/science/article/pii/096483059290021F,"Effect of incubation time, temperature and substrate on growth and aflatoxin production",25&30 (production after 2 weeks),4 (after 4 weeks),,,Different crops
https://www.jstage.jst.go.jp/article/mycosci/48/2/48_MYC48071/_pdf/-char/en,"Environmental and developmental factors influencing aflatoxin production 
by Aspergillus flavus and 
Aspergillus parasiticus",,,"0.95-0.96 (at 21 & 30) 

0.89 at 37 

 

Highest 0.996",,2 species of aflatoxin producing
https://journals.asm.org/doi/abs/10.1128/aem.63.3.1048-1053.1997,"Effects of Temperature, Water Activity, and Incubation Time on Production of Aflatoxins and Cyclopiazonic Acid by an Isolate of Aspergillus flavus in Surface Agar Culture",30,20 & 37 (after 15 days),0.996 (after 15 days),0.9,A.flavus in surface agar
https://www.sciencedirect.com/science/article/pii/S0022474X22000170,Effects of climatic conditions and hermetic storage on the growth of Aspergillus parasiticus and aflatoxin B1 contamination in basmati rice,30,"25-30 (found toxin) 

20 (no toxin)",0.95,"0.92-0.98(found toxin) 

0.86(no toxin)","Parasiticus on basmati rice  

Production of AFB1"
https://www.sciencedirect.com/science/article/pii/S095671351530058X,Aflatoxin contamination of peanuts at harvest in China from 2010 to 2013 and its relationship with climatic conditions,"Region with 23 (mean temperature) 

20(minimum) 

29(maximum)",,,,Peanuts in China
https://journals.asm.org/doi/epdf/10.1128/aem.55.2.531-532.1989,Effect of Temperature on Aflatoxin Productionin Mucunapruriens Seeds,25,15(lowest producing temperature),,,B1 on seed
https://www.sciencedirect.com/science/article/pii/S0022474X16300030,"Temperature, water activity and gas composition effects on the growth and aflatoxin production by Aspergillus flavus on paddy",,,,,
https://www.sciencedirect.com/science/article/pii/S0168160520303305,Modelling the effect of temperature and water activity on the growth rate of Aspergillus flavus and aflatoxin production in peanut meal extract agar,"25-30(production) 

 

32 (growth)",,,,"Both strains failed to grow at 20 °C with <0.94 aw, and <0.85 aw for 25, 35, and 40 °C. 

 

Peanuts extract agar"
